casename,ctp,yaw,phi_hub,Cp_1,Cp_2,Cp_T,ud
yaw_05_ct_07,1.6,25,-0.009059478,0.4833310474297473,0.5391410983268629,0.5112360728783052,0.6086945377927434
yaw_06_ct_07,1.6,30,-0.007341547,0.443056546,0.5677563219145858,0.5054064341758734,0.5938819398722639
yaw_07_ct_07,1.6,35,-0.007504261,0.3900975420471483,0.5789115436777845,0.4845045428624664,0.5665210975757752
yaw_08_ct_07,1.6,40,-0.00787197,0.3332052783492402,0.5943273065892657,0.4637662924692529,0.5319158076452023
yaw_09_ct_07,1.6,45,-0.008340568,0.2738353118925006,0.603972327,0.4389038196339873,0.4990429277941087
yaw_00_ct_09,2,0,-0.008325452,0.615140826,0.2783426958431615,0.4467417610806377,0.6150738477800547
yaw_01_ct_09,2,5,-0.008315383,0.6080267616755969,0.327909375,0.467968068,0.606927832
yaw_02_ct_09,2,10,-0.008662815,0.6008970346675631,0.38505634,0.492976688,0.6019054808863614
yaw_03_ct_09,2,15,-0.008358527,0.579472557,0.4717420040467211,0.5256072805349875,0.5960065174890887
yaw_04_ct_09,2,20,-0.008823115,0.5518484124928943,0.5054525018121762,0.5286504571525352,0.5874760262202083
yaw_05_ct_09,2,25,-0.006412467,0.5110318625907679,0.5465997119274589,0.5288157872591135,0.577756471
yaw_06_ct_09,2,30,-0.007587231,0.4693663923094308,0.5806319,0.5249991463370705,0.56013165
yaw_07_ct_09,2,35,-0.006840679,0.4191478246568074,0.5856064056952534,0.5023771151760303,0.5382485137832108
yaw_08_ct_09,2,40,-0.006481775,0.3615428865760986,0.593388649,0.4774657679356913,0.5106209022737432
yaw_09_ct_09,2,45,-0.009570023,0.2987879066483748,0.59818026,0.4484840835164219,0.4796019913274008
yaw_00_ct_11,2.4,0,-0.007169271,0.6236621591021261,0.283498034,0.4535800967251095,0.5804339433889925
yaw_01_ct_11,2.4,5,-0.00805633,0.6106875825122159,0.3308473047515075,0.4707674436318617,0.5748000122041247
yaw_02_ct_11,2.4,10,-0.00871226,0.6019995496913325,0.3890039122732059,0.4955017309822692,0.5793847963849125
yaw_03_ct_11,2.4,15,-0.007606657,0.5845481965932867,0.4412084863455805,0.5128783414694336,0.563351133
yaw_04_ct_11,2.4,20,-0.006702194,0.5639318310167281,0.5102554975544022,0.5370936642855652,0.5574408505580369
yaw_05_ct_11,2.4,25,-0.005372861,0.531040529,0.5405477362420438,0.5357941324419779,0.5521360144316657
yaw_06_ct_11,2.4,30,-0.007354481,0.4864777017591573,0.5692385210812267,0.5278581114201919,0.5332191862004615
yaw_07_ct_11,2.4,35,-0.009787423,0.4339431421071837,0.5770005417104914,0.5054718419088375,0.5128505273114138
yaw_08_ct_11,2.4,40,-0.006118424,0.3774958430835078,0.5761836145830512,0.4768397288332795,0.490996289
yaw_09_ct_11,2.4,45,-0.007191264,0.3167991993894366,0.5818689295029141,0.4493340644461754,0.4614399847500309
yaw_00_ct_13,2.8,0,-0.005547353,0.6115181815326564,0.2783309232032748,0.4449245523679656,0.5406346343746767
yaw_01_ct_13,2.8,5,-0.008541821,0.6072976,0.335005345,0.4711514726925501,0.5383985425086888
yaw_02_ct_13,2.8,10,-0.008115434,0.6030954236827806,0.3804516977229799,0.4917735607028803,0.5488161021565992
yaw_03_ct_13,2.8,15,-0.007207506,0.5844901151330126,0.4511559510510948,0.5178230330920538,0.5365848589941977
yaw_04_ct_13,2.8,20,-0.007517391,0.5639655877309458,0.501878695,0.5329221414082165,0.5339043172361404
yaw_05_ct_13,2.8,25,-0.008423652,0.5296491063783066,0.544936549,0.5372928275001283,0.5192063697681066
yaw_06_ct_13,2.8,30,-0.007647834,0.4957185721233964,0.5621650216365168,0.5289417968799566,0.5102578716059654
yaw_07_ct_13,2.8,35,-0.007955753,0.4467741169934445,0.57320733,0.5099907233875483,0.4939836820074528
yaw_08_ct_13,2.8,40,-0.007285403,0.3914223989175356,0.5797181626081604,0.485570281,0.4710419602701537
yaw_09_ct_13,2.8,45,-0.008509368,0.3289689281669262,0.5812407146117822,0.4551048213893541,0.4423197646538194
yaw_00_ct_15,3.2,0,-0.007079542,0.6067910785171139,0.2869238262307221,0.446857452,0.5222968324709992
yaw_01_ct_15,3.2,5,-0.007046191,0.6006840106062296,0.3360414974914765,0.468362754,0.5231505873678521
yaw_02_ct_15,3.2,10,-0.00708052,0.5890009525005522,0.3815387968186847,0.4852698746596183,0.5183997961857332
yaw_03_ct_15,3.2,15,-0.007002971,0.5801183278662889,0.4508942572146154,0.5155062925404522,0.5085021000993034
yaw_04_ct_15,3.2,20,-0.007920545,0.5616549417204537,0.5035094481070039,0.5325821949137288,0.5043612408335215
yaw_05_ct_15,3.2,25,-0.006271083,0.5334196735371336,0.5424384128744659,0.5379290432057998,0.5046465293914674
yaw_06_ct_15,3.2,30,-0.008385651,0.5001263301135914,0.574683811,0.5374050707252708,0.485778346
yaw_07_ct_15,3.2,35,-0.007383548,0.451856737,0.5755958164945497,0.513726277,0.4703460324843611
yaw_08_ct_15,3.2,40,-0.006306143,0.4010443655428929,0.5871729078095581,0.4941086366762255,0.450398596
yaw_09_ct_15,3.2,45,-0.007268226,0.3393817287596411,0.597035872,0.4682088006184766,0.42817469
yaw_00_ct_17,3.6,0,-0.00655296,0.5912520565244415,0.3069840436974055,0.4491180501109234,0.4930658236829549
yaw_01_ct_17,3.6,5,-0.007154909,0.5893926117005909,0.3361355894721486,0.4627641005863697,0.4953535177662206
yaw_02_ct_17,3.6,10,-0.007998603,0.5837263298909056,0.3908967712348551,0.4873115505628803,0.4909112043848036
yaw_03_ct_17,3.6,15,-0.007241689,0.5713544588649281,0.4380539155371932,0.5047041872010607,0.4921399599164489
yaw_04_ct_17,3.6,20,-0.007858793,0.5523705780814581,0.5095300730976993,0.5309503255895787,0.4864072559934969
yaw_05_ct_17,3.6,25,-0.008251802,0.5280530957989688,0.5410177598268994,0.5345354278129341,0.4741233064472537
yaw_06_ct_17,3.6,30,-0.005705651,0.4948345574677968,0.5733210306036917,0.5340777940357442,0.4639555122331169
yaw_07_ct_17,3.6,35,-0.00782024,0.4508593723896441,0.5727901223282328,0.5118247473589383,0.4529551762190361
yaw_08_ct_17,3.6,40,-0.008085058,0.4017023750548788,0.5821779551673026,0.4919401651110908,0.4362230536682079
yaw_09_ct_17,3.6,45,-0.00938101,0.341123008,0.5920529165735736,0.4665879623344423,0.4136358549298884
yaw_00_ct_19,4,0,-0.008254093,0.5799240854357093,0.3112286053478709,0.4455763453917901,0.4790154898296709
yaw_01_ct_19,4,5,-0.008132565,0.5797671557818496,0.3501095991584865,0.464938377,0.4727314596901102
yaw_02_ct_19,4,10,-0.008498449,0.5740510531235816,0.4056241013407899,0.4898375772321858,0.4740720144397486
yaw_03_ct_19,4,15,-0.005996065,0.5634111974351644,0.443659772,0.5035354846931177,0.4737867488950681
